Chapters,Verse,Verse_Number,Verse_Meaning
Chapter 3,"""One is not even for a moment free from action. For everyone is forced to act according to the modes of material nature. Therefore, O son of Kunti, perform your duties without attachment.""",Verse 3.5,"Krishna to Arjuna: Every living being is compelled to act according to their nature. No one can remain inactive even for a moment, as the forces of nature constantly drive action."
Chapter 3,"""The one who performs his duties without attachment to the results is a true yogi, and the person who does not engage in action, claiming to renounce all work, is neither a yogi nor a true renunciant.""",Verse 3.6,Krishna to Arjuna: A person who outwardly restrains actions but internally dwells on sense pleasures is a hypocrite. True renunciation is not just about avoiding action but about mastering the mind and desires.
Chapter 3,"""You must perform your prescribed duties with a sense of detachment. If you perform your duties without attachment to the results, you will be free from the bondage of action.""",Verse 3.7,"Krishna to Arjuna: One who sincerely engages in selfless action, without selfish motives, is far superior to one who merely renounces externally. Such a person achieves purification and spiritual elevation."
Chapter 3,"""Performing actions as your duty, without attachment, will keep you free from sin. Do your work with a focused mind, and free from personal desires.""",Verse 3.8,"Krishna to Arjuna: Performing one's prescribed duties is better than inaction. Without action, even maintaining the physical body is impossible, making work essential to life."
Chapter 3,"""Work done as a sacrifice, as an offering to God, is always free from bondage. Do your work with this attitude of sacrifice, and you will be free from the consequences of your actions.""",Verse 3.9,"Krishna to Arjuna: All actions should be performed as a sacrifice to the Supreme. When done with devotion and without selfish motives, action does not bind the soul in material consequences."
Chapter 3,"""In the beginning, the Creator, having created mankind together with sacrifices, said: By offering sacrifices, you will propagate the material world and, thereby, be protected from adverse influences.""",Verse 3.10,"Krishna to Arjuna: In the beginning, the Creator established sacrifice as a means for beings to prosper. By performing selfless duties, humans receive blessings from nature and maintain harmony."
Chapter 3,"""Through your sacrifices, the gods will be pleased, and in turn, they will give you the necessities of life. Thus, by serving one another, both you and the gods will be mutually benefited.""",Verse 3.11,"Krishna to Arjuna: By offering sacrifices, humans nourish the divine forces, and in return, the divine blesses them with prosperity. This mutual exchange sustains both the material and spiritual worlds."
Chapter 3,"""The gods, being satisfied by your sacrifices, will give you all the necessities of life. Therefore, they are never dissatisfied, and in return, you should give them sacrifices.""",Verse 3.12,"Krishna to Arjuna: Those who receive nature’s gifts but fail to give back in the form of selfless action are thieves. They live selfishly, taking without gratitude, which leads to disharmony."
Chapter 3,"""The person who enjoys the gifts received from the gods, but does not offer them in return to the gods, is certainly a thief.""",Verse 3.13,"Krishna to Arjuna: The righteous, who partake only of food sanctified by sacrifice, are freed from sin. But those who eat only for themselves accumulate karmic reactions and remain bound in the cycle of birth and death."
Chapter 3,"""All living beings subsist on food, and food is produced by sacrifices. Sacrifices are performed with work, and work is born of action.""",Verse 3.14,"Krishna to Arjuna: All living beings depend on food, which comes from rain. Rain is produced by sacrifice, and sacrifice is born from selfless action, showing the interconnectedness of nature and duty."
Chapter 3,"""Thus, the unbroken cycle of creation continues, as ordained by the Creator, and all actions are performed in accordance with the divine order.""",Verse 3.15,"Krishna to Arjuna: Selfless action originates from divine law, and the divine itself arises from the Supreme. One who understands this eternal cycle and acts accordingly attains true freedom."
Chapter 3,"""Arjuna, one who does not follow the wheel of creation set of going in this world, sinful and sensual, lives in vain. But he who follows the path of selfless action is freed from the bondage of birth and death.""",Verse 3.16,Krishna to Arjuna: Those who disrupt this cycle and live only for selfish pleasure live in vain. They waste their human life and fail to realize the higher purpose of existence.
Chapter 3,"""The Blessed Lord said: I am not the one who acts or causes the actions to be done, nor am I the one who is attached to the results. The eternal truth is, I am the unchanging witness to all actions.""",Verse 3.17,"Krishna to Arjuna: However, one who is fully realized in the Self, who is content within and free from desires, has no duty to perform, as they are beyond material obligations."
Chapter 3,"""One who performs his actions with dedication and devotion, without attachment, is not bound by karma (action), and is freed from the bondage of birth and death.""",Verse 3.18,"Krishna to Arjuna: Such a self-realized soul has no personal need to engage in work, nor do they depend on others. Yet, they continue to act for the welfare of the world."
Chapter 3,"""Therefore, Arjuna, perform your duties in accordance with your nature and position, without attachment, and with full devotion, without expecting any results.""",Verse 3.19,"Krishna to Arjuna: Therefore, Arjuna should perform his duty selflessly, without attachment to results, as this leads to true liberation and spiritual fulfillment."
Chapter 3,"""One who is free from attachment, renounces the fruits of his actions, and performs his duties with sincerity, devotion, and humility, is said to be in a state of true yoga.""",Verse 3.20,"Krishna to Arjuna: Even great kings like Janaka attained perfection through selfless action. By fulfilling one's duties, one also sets an example for others to follow."
Chapter 3,"""Whatever a great person does, common people follow. Whatever standard he sets, the world follows.""",Verse 3.21,"Krishna to Arjuna: Whatever a great person does, others naturally follow. Leaders must act responsibly, for their conduct influences the masses."
Chapter 3,"""O son of Pritha, there is no work in all the three worlds that is binding on Me. Nor do I have any desire for the fruits of actions. Yet, I continue to work.""",Verse 3.22,"Krishna to Arjuna: Krishna Himself, though needing nothing, still engages in action. If He were to stop acting, the world would fall into disorder."
Chapter 3,"""If I did not perform the prescribed duties, all men would follow My path. These worlds would perish if I stopped performing My duties.""",Verse 3.23,"Krishna to Arjuna: If Krishna did not perform His divine duties, all beings would follow His example and neglect their responsibilities, leading to chaos."
Chapter 3,"""With My actions, I support the entire creation. If I do not perform my duties, these worlds would be destroyed.""",Verse 3.24,"Krishna to Arjuna: If He did not act, the entire creation would be ruined, and humanity would be destroyed. Thus, selfless action maintains universal harmony."
Chapter 3,"""Just as the ignorant act according to the modes of nature, O son of Kunti, the wise act without attachment, desiring the welfare of all.""",Verse 3.25,"Krishna to Arjuna: Just as ignorant people act with attachment, the wise should also perform duties but without attachment, serving as a guiding example."
Chapter 3,"""Let not the ignorant disturb the minds of the wise, who are engaged in selfless action. The wise should always act without attachment, leading others by example.""",Verse 3.26,"Krishna to Arjuna: The enlightened should not disturb the ignorant who are attached to action. Instead, they should encourage them through leading by example."
Chapter 3,"""All actions are carried out by the modes of nature. But a person, deluded by the ego, thinks, 'I am the doer.'""",Verse 3.27,"Krishna to Arjuna: All actions are carried out by nature’s forces, but the deluded ego thinks, “I am the doer.” This ignorance leads to bondage."
Chapter 3,"""O mighty-armed Arjuna, one who is free from the ego and knows that the modes of nature are at work in action, does not become attached to the results of their actions.""",Verse 3.28,"Krishna to Arjuna: The wise understand that actions arise from the three modes of nature and remain detached, allowing work to be done without personal ego."
Chapter 3,"""Deluded by the three modes of material nature, the ignorant engage in actions with attachment. But the wise person, knowing the truth, acts without attachment, surrendering the fruits of action to Me.""",Verse 3.29,"Krishna to Arjuna: The ignorant remain attached to their actions, identifying with their ego. The wise should not unsettle them but gradually guide them toward truth."
Chapter 3,"""Therefore, O Arjuna, surrender all your works to Me, with your mind focused on the Self, and free from desire and egoism, fight the battle.""",Verse 3.30,Krishna to Arjuna: Surrendering all actions to the Supreme with a pure heart and without selfish motives leads to liberation. Arjuna is urged to fight with this spirit.
Chapter 3,"""Those who, after hearing this, do not follow the path of selfless action, are in delusion. They are lost in material desires and will suffer the consequences of their actions.""",Verse 3.31,Krishna to Arjuna: Those who follow this divine teaching with faith and sincerity become free from karmic bondage and attain eternal peace.
Chapter 3,"""O son of Pritha, the person who is not attached to the fruits of action, who does not react to the world with attachment or aversion, is never entangled in the web of karma.""",Verse 3.32,"Krishna to Arjuna: However, those who reject this wisdom out of arrogance and ignorance remain trapped in illusion, suffering the consequences of their actions."
Chapter 3,"""Even a wise person, acting in accordance with his nature, will sometimes be compelled to perform actions that he would rather avoid, due to the influence of his desires and nature.""",Verse 3.33,"Krishna to Arjuna: Even the wise act according to their inherent nature. Since nature compels action, suppressing one’s duty is futile."
Chapter 3,"""Desire, anger, and greed are the three gates to self-destructive hell. Therefore, one should abandon these three.""",Verse 3.34,"Krishna to Arjuna: The senses are naturally drawn to certain objects. Instead of suppressing desires forcefully, one should regulate them with wisdom and discipline."
Chapter 3,"""Performing one's prescribed duties, without attachment to the fruits, is better than performing another's duties, for it is difficult to attain perfection in another's duties.""",Verse 3.35,"Krishna to Arjuna: Performing one's own duty, even imperfectly, is better than excelling in another’s duty. Doing another’s work, even skillfully, leads to spiritual harm."
Chapter 3,"""Arjuna said: O Krishna, by what is one impelled to commit sinful actions, even unwillingly, as if by force?""",Verse 3.36,"Arjuna to Krishna: Arjuna asks why people commit sinful actions even against their will, as if forced by some unseen power."
Chapter 3,"""The Blessed Lord said: It is desire and anger, which are born of the modes of material nature. These are the enemies of the soul, and they are insatiable, causing a person to act in sinful ways.""",Verse 3.37,"Krishna to Arjuna: It is desire and anger, born of passion, that lead one to sin. These powerful forces are the great enemies of spiritual progress."
Chapter 3,"""As fire is covered by smoke, as a mirror is covered by dust, the living being is covered by desire, which is the source of sin.""",Verse 3.38,"Krishna to Arjuna: Just as fire is covered by smoke, wisdom is covered by selfish desire. This endless craving blinds the soul from truth."
Chapter 3,"""Thus, O Arjuna, desire, which is the product of the mode of passion, is the formidable enemy of the soul, and it devours a person's wisdom and leads them away from their spiritual path.""",Verse 3.39,"Krishna to Arjuna: Desire is an insatiable enemy that veils wisdom. It resides in the senses, mind, and intellect, leading people astray."
Chapter 3,"""By controlling the senses, by practicing the knowledge of the self, and by cultivating self-discipline, one can defeat the overwhelming power of desire.""",Verse 3.40,"Krishna to Arjuna: Desire and anger have their roots in the senses and the mind. By controlling them, one can conquer these forces and attain wisdom."
Chapter 3,"""Therefore, O Arjuna, first control the desire within your mind, and then control the senses. By this, you will be able to conquer the enemy, which is the source of all suffering.""",Verse 3.41,"Krishna to Arjuna: The senses are strong, but the mind is stronger. The intellect is even more powerful, yet beyond all is the pure soul, the true self."
Chapter 3,"""The senses are superior to the body, the mind is superior to the senses, and the intellect is superior to the mind. But the soul is superior to the intellect. Therefore, O Arjuna, control the mind with the intellect, and conquer the desire that arises from attachment.""",Verse 3.42,"Krishna to Arjuna: By realizing the supreme self beyond intellect and senses, one can conquer desire and attain true peace."
Chapter 3,"""Thus knowing the soul to be superior to the material intellect, O mighty armed Arjun, subdue the lower self (senses, mind, and intellect) by the higher self (strength of the soul), and kill this formidable enemy called lust.""",Verse 3.43,"Krishna to Arjuna: Therefore, Arjuna must rise, defeat this great enemy of desire through wisdom, and perform his duty with a pure heart, free from selfish attachments."
Chapter 4,"""I taught this imperishable knowledge to Vivasvan, the sun god; Vivasvan taught it to Manu, and Manu taught it to Ikshvaku.""",Verse 4.1,"Krishna to Arjuna: I revealed this eternal knowledge of Yoga first to the Sun-god, who passed it down through the ages. This wisdom is ancient and has been followed by noble kings, but over time, it was lost to the world. I am now reviving it for you because you are my devoted friend and disciple."
Chapter 4,"""This knowledge has been passed down through the generations. But now, O Kuru, it has been lost, and I am revealing it to you once again.""",Verse 4.2,"Krishna to Arjuna: The lineage of wise kings upheld this sacred knowledge, ensuring its practice in righteousness. But as time passed, its purity declined, and its essence was forgotten. That is why I have chosen to impart it to you now, so that its wisdom may once again illuminate the world."
Chapter 4,"""O Arjuna, this knowledge of the self is ancient and has been revealed by the divine. Now I am teaching it to you, because you are my devotee and my friend.""",Verse 4.3,"Krishna to Arjuna: You are worthy of receiving this wisdom because you are my sincere devotee and friend. This is not an ordinary teaching but a supreme secret that leads one to liberation. By understanding it, one can break free from the cycle of birth and death."
Chapter 4,"""Arjuna said: O Krishna, you were born after Vivasvan. How then could you teach this knowledge to him?""",Verse 4.4,"Arjuna to Krishna: O Krishna, You were born much after the Sun-god. How then should I understand that You revealed this knowledge in the beginning? Your words are divine, yet they appear mysterious to me. Please clarify how this eternal teaching was given by You in the distant past."
Chapter 4,"""Krishna said: O Arjuna, both you and I have passed through countless births. I remember all of them, but you do not.""",Verse 4.5,"Krishna to Arjuna: Both you and I have taken many births, Arjuna, but while you do not remember them, I do. As the Supreme Being, I transcend time and space. Though I appear in this world in a human form, I am beyond the limitations of birth and death."
Chapter 4,"""Though I am unborn and my divine nature is imperishable, and though I am the lord of all beings, I manifest myself through my divine power.""",Verse 4.6,Krishna to Arjuna: I manifest myself in the world whenever righteousness declines and unrighteousness rises. My divine birth is not due to karma but is a conscious decision to restore balance and guide humanity back to the path of dharma.
Chapter 4,"""Whenever there is a decline in righteousness and an increase in unrighteousness, O Arjuna, at that time I manifest myself on earth.""",Verse 4.7,"Krishna to Arjuna: Whenever there is a decline in righteousness and an increase in wickedness, I incarnate on earth. My purpose is to protect the virtuous, destroy evil, and re-establish dharma. This has been my eternal mission."
Chapter 4,"""To protect the righteous, to annihilate the wicked, and to reestablish the principles of dharma, I appear on earth, millennium after millennium.""",Verse 4.8,"Krishna to Arjuna: I descend in every age to uplift the righteous, annihilate the wicked, and ensure the triumph of dharma. Those who understand my divine nature are freed from the bondage of rebirth and attain eternal peace."
Chapter 4,"""One who knows the true nature of my birth, my divine power, and my actions, is not born again after leaving the body but attains me.""",Verse 4.9,"Krishna to Arjuna: One who truly understands the divine nature of My birth and actions does not take another birth upon leaving the body. Instead, they attain My eternal abode, never to return to the cycle of birth and death."
Chapter 4,"""Being freed from attachment, fear, and anger, absorbed in me, and taking refuge in me, many have attained my divine nature.""",Verse 4.10,"Krishna to Arjuna: Many seekers, purified by knowledge and devotion, have freed themselves from attachment, fear, and anger. By surrendering fully to Me, they attained liberation and merged with the divine."
Chapter 4,"""All those who surrender to me, no matter their background, will be freed from sin and reach the ultimate goal.""",Verse 4.11,"Krishna to Arjuna: In whatever way people approach Me, I reciprocate accordingly. All beings follow My path in some way, knowingly or unknowingly, for I am the ultimate goal of all endeavors."
Chapter 4,"""Those who desire the fruits of their actions perform various rituals and sacrifices. They go to the gods for the fulfillment of their desires.""",Verse 4.12,"Krishna to Arjuna: Those who seek success in their worldly actions worship the celestial deities, for material rewards are obtained swiftly through prescribed rituals and offerings. However, such gains are temporary."
Chapter 4,"""According to the three gunas (modes of material nature), I created the fourfold order of society. By performing their respective duties, people attain perfection.""",Verse 4.13,"Krishna to Arjuna: I created the fourfold division of society based on people’s qualities and actions. Though I am the creator of this system, know that I remain beyond all action and free from its consequences."
Chapter 4,"""Even though I am the creator of this system, O Arjuna, I do not do anything, nor am I attached to the actions.""",Verse 4.14,Krishna to Arjuna: Actions do not bind Me because I am unattached and indifferent to their outcomes. Those who understand this truth also become free from the bondage of karma.
Chapter 4,"""People who do not have knowledge of the true nature of actions, think that I am the doer. But the ignorant fail to understand this.""",Verse 4.15,"Krishna to Arjuna: The ancient seekers of liberation performed their duties without attachment, following this wisdom. I encourage you to do the same, for by acting selflessly, one attains perfection."
Chapter 4,"""Actions that are performed without attachment to their results, and without selfish desire, do not bind the soul.""",Verse 4.16,Krishna to Arjuna: Even the wisest are confused about what action and inaction truly mean. I will now explain this profound truth so that you may act with full understanding and be liberated.
Chapter 4,"""Actions are of three kinds: those performed with attachment, those done with desire for their results, and those performed as an offering to the divine.""",Verse 4.17,"Krishna to Arjuna: One must understand what constitutes right action, wrong action, and inaction. This knowledge is subtle and profound, and only through deep contemplation can one discern it correctly."
Chapter 4,"""Those who are attached to the fruits of their actions, or those who perform actions with desire, are not free from bondage.""",Verse 4.18,"Krishna to Arjuna: The one who sees inaction in action and action in inaction is truly wise. Such a person, though fully engaged in work, is not entangled by it, for they act with complete awareness."
Chapter 4,"""One who performs actions without any desire for personal gain, and who has a mind fixed on the self, does not get bound by action.""",Verse 4.19,"Krishna to Arjuna: A truly enlightened being is free from desires and works only for the welfare of the world. Their every action is a sacrifice, performed with selfless devotion, and thus they remain untouched by karma."
Chapter 4,"""Such a person, whose actions are driven by the desire for the welfare of others, attains liberation, for all actions are offered to me.""",Verse 4.20,"Krishna to Arjuna: By renouncing attachment to results and performing all actions as an offering to the Divine, one attains supreme peace and is liberated from the bondage of karma."
Chapter 4,"""One who has conquered the mind and who performs all actions for the sake of the divine, is freed from the bondage of actions.""",Verse 4.21,"Krishna to Arjuna: A selfless person, satisfied with whatever comes naturally, neither seeks rewards nor complains about hardships. They remain unattached, even while engaged in action, and thus do not incur sin."
Chapter 4,"""Free from attachment and desire, a wise person performs all actions in a spirit of renunciation, without any expectation of reward.""",Verse 4.22,"Krishna to Arjuna: One who is free from desires, envy, and possessiveness remains unaffected by success or failure. Their actions are purified by knowledge, and they live in harmony with the universe."
Chapter 4,"""By performing all actions as an offering to the divine, one becomes free from the need for reward and remains unattached to the results.""",Verse 4.23,"Krishna to Arjuna: The one whose actions are dedicated to the Supreme, performed with wisdom and without selfish motives, is never bound by karma, just as a lotus leaf remains untouched by water."
Chapter 4,"""Those who have perfect knowledge of the self are not affected by action or its results, and they work without attachment.""",Verse 4.24,"Krishna to Arjuna: The offering, the oblation, the act of sacrifice, and the one who offers—all are manifestations of the Supreme. Those who realize this truth become one with the Divine."
Chapter 4,"""Some perform sacrifices with the body, others with the mind, while still others offer sacrifices with material substances.""",Verse 4.25,"Krishna to Arjuna: Some devotees sacrifice material possessions, while others offer austerities, knowledge, or self-discipline. All sincere offerings lead to purification and spiritual progress."
Chapter 4,"""Different types of sacrifice and austerity are performed by different people according to their nature and understanding.""",Verse 4.26,"Krishna to Arjuna: Some sacrifice their senses by restraining them from indulging in pleasures, while others sacrifice their breath in disciplined yogic practices. Each path, when followed with sincerity, leads to liberation."
Chapter 4,"""Those who have mastered the Vedas and who perform yajnas (sacrificial rituals) with devotion, seek to reach the gods through their actions.""",Verse 4.27,"Krishna to Arjuna: Some offer their material wealth, while others offer strict vows of asceticism. Still, others dedicate their study of scriptures and spiritual wisdom as a sacred sacrifice."
Chapter 4,"""All actions, whether good or bad, should be offered to the Supreme, and this offers liberation from the bondage of the material world.""",Verse 4.28,"Krishna to Arjuna: Even the simplest act, when done with devotion, becomes a sacred offering. Those who act without attachment to rewards attain spiritual wisdom and inner peace."
Chapter 4,"""Through self-control and detachment, and by controlling the senses, a person can offer all actions to the divine.""",Verse 4.29,"Krishna to Arjuna: By controlling their breath and senses, yogis harmonize their physical and mental energies, merging them into the Supreme Consciousness. Such disciplined practice leads to enlightenment."
Chapter 4,"""Those who perform the sacrifice of knowledge with devotion attain liberation, for their hearts are purified by the knowledge of the divine.""",Verse 4.30,"Krishna to Arjuna: Those who understand the true purpose of sacrifice realize the divine nature of all actions. By acting selflessly, they attain freedom from suffering and transcend the material world."
Chapter 4,"""Those who are devoted to knowledge and who perform their actions selflessly are freed from sin and attain liberation.""",Verse 4.31,"Krishna to Arjuna: Even if one performs the greatest sacrifices, if done without knowledge and devotion, they yield only temporary results. True wisdom is the highest form of sacrifice."
Chapter 4,"""Those who surrender all actions to me and who engage in constant devotion to me, are never abandoned by me.""",Verse 4.32,"Krishna to Arjuna: All paths of sacrifice originate from divine wisdom. When performed with understanding, they lead one to liberation and eternal bliss."
Chapter 4,"""Even if a person commits a great sin, but is devoted to me, that person can be redeemed by my grace and reach the highest goal.""",Verse 4.33,"Krishna to Arjuna: Knowledge is superior to mere rituals, for wisdom directly leads to liberation. A realized soul understands the deeper essence of sacrifice and sees all actions as sacred."
Chapter 4,"""Learn from those who are wise and who have mastered the scriptures, inquire from them with respect, and they will teach you the knowledge you seek.""",Verse 4.34,"Krishna to Arjuna: Seek wisdom from the enlightened, approach them with humility, and serve them sincerely. They will guide you to the highest truth through their divine knowledge."
Chapter 4,"""Upon learning the truth, you will no longer be deluded, and you will see all beings in their true nature.""",Verse 4.35,"Krishna to Arjuna: Once you gain true wisdom, you will no longer be confused. You will see all beings as part of the Divine and recognize the unity of existence."
Chapter 4,"""Even if you are the most sinful of sinners, you can cross over all sins by the raft of knowledge.""",Verse 4.36,"Krishna to Arjuna: Even the most sinful person, upon gaining true knowledge, can cross over the ocean of sin and attain liberation, just as fire burns away all impurities."
Chapter 4,"""As the blazing fire turns wood to ash, the fire of knowledge consumes all actions and purifies the soul.""",Verse 4.37,"Krishna to Arjuna: Just as a blazing fire reduces wood to ashes, so does the fire of knowledge destroy all past karma, freeing the soul from bondage."
Chapter 4,"""There is nothing as purifying as knowledge. One who is perfectly devoted to the path of knowledge realizes the supreme.""",Verse 4.38,Krishna to Arjuna: There is no purifier greater than knowledge. A person who sincerely pursues wisdom attains purity and self-realization in due time.
Chapter 4,"""A person who has faith, who is devoted, and who has mastered their senses, attains knowledge, and through knowledge, attains liberation.""",Verse 4.39,"Krishna to Arjuna: A person with faith and devotion, who strives with discipline, ultimately attains the highest knowledge and experiences the supreme peace of enlightenment."
Chapter 4,"""One who does not have faith in this knowledge, does not attain liberation and remains bound by material desires.""",Verse 4.40,"Krishna to Arjuna: Those who doubt and lack faith remain trapped in ignorance. Neither in this life nor the next do they attain happiness, for their minds are restless."
Chapter 4,"""Those who have renounced action and who are free from attachment, attain peace, and their hearts become illuminated by divine wisdom.""",Verse 4.41,Krishna to Arjuna: The one who renounces doubts through wisdom and acts with a pure heart is liberated from karma and attains divine bliss.
Chapter 4,"""Therefore, with a focused mind, surrender all your actions to the Supreme, and with a firm determination, perform your duty.""",Verse 4.42,"Krishna to Arjuna: Arjuna, rise and fight with knowledge! Destroy the doubts in your heart through wisdom, take up your duty with courage, and follow the path of righteousness."
Chapter 5,"""Those who, while performing their actions, renounce the fruits of action, are considered true renunciates and yogis.""",Verse 5.1,"Arjuna to Krishna: O Krishna, You praise both renunciation of action and selfless action. Which of these paths is superior? Kindly guide me so that I may choose the best path for my spiritual progress."
Chapter 5,"""Renunciation of action, O Arjuna, is difficult to achieve without the knowledge of the self. Therefore, those who know the self call it true renunciation.""",Verse 5.2,"Krishna to Arjuna: Both renunciation (Sannyasa) and selfless action (Karma Yoga) lead to liberation, but of the two, Karma Yoga is superior. A true renunciate is one who works without attachment rather than one who merely gives up physical action."
Chapter 5,"""The true renunciant is one who, free from attachment, is unaffected by pleasure or pain, and works for the welfare of others.""",Verse 5.3,"Krishna to Arjuna: The one who neither hates nor desires the fruits of actions is a true renunciate. Free from all dualities, they are easily liberated from the bondage of karma and attain inner peace."
Chapter 5,"""Those who do not act for selfish purposes, but who act for the sake of others, remain free from the bondage of actions.""",Verse 5.4,Krishna to Arjuna: Only the ignorant believe that renunciation and selfless action are separate paths. The wise understand that both lead to the same goal. One who masters Karma Yoga will naturally attain the perfection of renunciation.
Chapter 5,"""A person who is detached from the fruits of action, who is without desires, and who is free from egoism, attains liberation.""",Verse 5.5,Krishna to Arjuna: The state attained by renunciates is also achieved by Karma Yogis. The one who sees no difference between these two paths truly understands the essence of spiritual wisdom.
Chapter 5,"""By performing all actions without attachment, the mind becomes purified, and through meditation, one can attain supreme peace.""",Verse 5.6,Krishna to Arjuna: True renunciation is difficult to achieve without selfless action. But the wise one who follows Karma Yoga with devotion quickly reaches the Supreme.
Chapter 5,"""One who is not attached to the results of their actions, who remains unaffected by pleasure or pain, is a true yogi.""",Verse 5.7,"Krishna to Arjuna: The selfless worker who is pure in heart, who controls the senses and mind, and who sees all beings as equal, remains unaffected by karma and attains liberation."
Chapter 5,"""Such a yogi is free from desires, renounces all attachments, and performs actions as a pure offering to the divine.""",Verse 5.8,"Krishna to Arjuna: A wise person who knows the truth understands, “I do nothing at all.” Even while seeing, hearing, touching, smelling, eating, walking, sleeping, and breathing, they remain free from attachment."
Chapter 5,"""One who sees the divine presence in all beings, and sees all beings in the divine, is a true yogi.""",Verse 5.9,"Krishna to Arjuna: The enlightened one, though engaged in all kinds of actions, remains untouched by them, realizing that all actions are carried out by the senses interacting with their objects, not by the true Self."
Chapter 5,"""The one who is detached from the external world, who has mastered their senses, and who works with a mind focused on the divine, is free from the bondage of action.""",Verse 5.10,"Krishna to Arjuna: One who dedicates all actions to the Divine, remaining free from attachment, is unaffected by sin, just as a lotus leaf remains untouched by water."
Chapter 5,"""Those who are unattached to the fruits of their actions, and who live without desire, live in harmony with the divine, and reach the highest state of being.""",Verse 5.11,"Krishna to Arjuna: The self-controlled person performs all actions with body, mind, intellect, and senses, without attachment, solely for the purpose of self-purification."
Chapter 5,"""By renouncing attachment to the material world, and by controlling the mind and senses, one attains peace and liberation.""",Verse 5.12,"Krishna to Arjuna: The one who surrenders all actions to God attains eternal peace, while the one who remains attached to results is bound by desires and suffers anxieties."
Chapter 5,"""Through the practice of true renunciation and by dedicating all actions to the Supreme, a person reaches the ultimate goal of liberation.""",Verse 5.13,"Krishna to Arjuna: A true renunciate dwells happily in the body without identifying with it. Having given up all attachment to action, they rest in the divine consciousness and remain unshaken."
Chapter 5,"""All actions are performed by the three gunas (modes of nature), but the self, free from the influence of these gunas, does not act.""",Verse 5.14,"Krishna to Arjuna: The Supreme does not create people’s actions, nor their sense of duty, nor the results of their deeds. These arise from nature and human tendencies."
Chapter 5,"""The ignorant believe that the self performs actions, but those who know the self understand that the self is not the doer.""",Verse 5.15,"Krishna to Arjuna: The Lord does not take responsibility for anyone’s virtues or sins. However, ignorance clouds the understanding of living beings, preventing them from realizing this truth."
Chapter 5,"""The wise person, who has realized their true nature, sees all beings equally, unaffected by the external circumstances.""",Verse 5.16,"Krishna to Arjuna: But those whose ignorance is dispelled by the light of knowledge see the Supreme Reality shining like the sun, illuminating all their actions."
Chapter 5,"""Those who are free from attachment and who have overcome desires, attain peace and unity with the divine.""",Verse 5.17,"Krishna to Arjuna: Those who fix their mind and intellect on the Divine, who remain devoted and absorbed in knowledge, attain liberation and are freed from all past karma."
Chapter 5,"""By renouncing the fruits of action, a person attains liberation and is freed from the bondage of the material world.""",Verse 5.18,"Krishna to Arjuna: The wise see all beings with equal vision—whether it be a learned scholar, a humble cow, an elephant, a dog, or even a lowly outcast. This divine vision arises from self-realization."
Chapter 5,"""The yogi who remains unattached to worldly desires, and who has mastered their mind, attains supreme peace.""",Verse 5.19,"Krishna to Arjuna: Those whose minds are established in equality have already conquered this world. They are free from illusion and remain in unity with the Supreme, untouched by pleasure or pain."
Chapter 5,"""One who has purified their mind through knowledge and devotion, and who performs actions for the welfare of others, is a true renunciant.""",Verse 5.20,"Krishna to Arjuna: The one who is not elated by success, nor disturbed by sorrow, who is free from attachment, fear, and anger, is truly a sage of steady wisdom."
Chapter 5,"""By remaining detached from the material world and devoting oneself to the divine, one reaches the ultimate state of liberation.""",Verse 5.21,"Krishna to Arjuna: The self-realized person, detached from external pleasures, finds joy within. By uniting with the Supreme, they experience boundless bliss beyond the temporary joys of the senses."
Chapter 5,"""Pleasures that arise from contact with the material world are temporary, and one who seeks lasting happiness turns inward to the divine.""",Verse 5.22,"Krishna to Arjuna: The pleasures of the senses are temporary and sources of suffering. The wise do not seek joy in them, knowing that true happiness lies beyond material enjoyment."
Chapter 5,"""By renouncing attachment to the material world, and through meditation, one attains peace, and no longer remains affected by external circumstances.""",Verse 5.23,"Krishna to Arjuna: The one who, before leaving this body, conquers desires and anger, and remains self-controlled, is a true yogi and finds true happiness."
Chapter 5,"""Those who are free from attachment and desires, and who perform actions as an offering to the divine, are never bound by the fruits of their actions.""",Verse 5.24,"Krishna to Arjuna: The self-controlled sage, who is free from inner darkness, whose mind is firmly fixed on the Supreme, experiences the eternal joy of liberation."
Chapter 5,"""The true yogi renounces all worldly attachments, and through devotion and surrender to the divine, reaches the highest state of consciousness.""",Verse 5.25,"Krishna to Arjuna: Those who strive for liberation, whose impurities are cleansed through self-discipline, who work for the welfare of all, attain divine bliss."
Chapter 5,"""The one who has renounced desires and who sees the divine presence in all beings, becomes free from the cycle of birth and death.""",Verse 5.26,"Krishna to Arjuna: The one who is free from desire and anger, who has conquered the mind and realized the Self, attains supreme peace and the highest state of being."
Chapter 5,"""With a pure mind, controlled senses, and a steady focus, the yogi meditates on the divine, attaining supreme peace.""",Verse 5.27,"Krishna to Arjuna: By withdrawing the senses from external distractions, focusing the mind between the eyebrows, and regulating the breath, one attains inner peace and divine realization."
Chapter 5,"""The one who is detached from worldly pleasures, who remains unaffected by pain or joy, and who constantly meditates on the divine, attains liberation.""",Verse 5.28,"Krishna to Arjuna: With senses, mind, and intellect under control, the yogi, free from desires and attachments, merges with the Divine and attains liberation."
